size,worst time,best time,,,size,worst c,best c
1,9E-06,1E-06,,,size,1,1
2,1.1E-05,3E-06,,,size,4,3
3,9E-06,2E-06,,,size,9,6
4,1E-05,3E-06,,,size,16,10
5,9E-06,1E-06,,,size,25,15
6,1E-05,2E-06,,,size,36,21
7,9E-06,2E-06,,,size,49,28
8,1.1E-05,3E-06,,,size,64,36
9,1E-05,3E-06,,,size,81,45
10,9E-06,2E-06,,,size,100,55
11,1.3E-05,4E-06,,,size,121,66
12,1.1E-05,3E-06,,,size,144,78
13,1.1E-05,3E-06,,,size,169,91
14,1.1E-05,3E-06,,,size,196,105
15,1.4E-05,5E-06,,,size,225,120
16,1.3E-05,4E-06,,,size,256,136
17,1.3E-05,4E-06,,,size,289,153
18,1.2E-05,4E-06,,,size,324,171
19,1.1E-05,3E-06,,,size,361,190
20,1.2E-05,4E-06,,,size,400,210
21,1.3E-05,5E-06,,,size,441,231
22,1.4E-05,5E-06,,,size,484,253
23,6E-06,3E-06,,,size,529,276
24,1.5E-05,5E-06,,,size,576,300
25,1.6E-05,5E-06,,,size,625,325
26,1.7E-05,6E-06,,,size,676,351
27,1.4E-05,5E-06,,,size,729,378
28,1.6E-05,6E-06,,,size,784,406
29,1.8E-05,7E-06,,,size,841,435
30,1.9E-05,7E-06,,,size,900,465
